Diagonisis Code,Disease,Description,Common Symptomps,Medicine,Doctor,Doctor's Number,Doctor's Address
0378-0148,Rosaceae,Bursitis of left shoulder,Constant exophthalmos,doxycycline hyclate,Carney Sunderland,(723) 9059128,93695 Di Loreto Alley
36987-2003,Ranunculaceae,Injury of other nerves at shoulder and upper arm level,N-traf brd/alit-ped cycl,Mucor plumbeus,Leta Itzakson,(951) 2834669,21 Norway Maple Pass
0781-5625,Aspleniaceae,"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with routine healing",Cl skul base fx w/o coma,"Carbidopa, Levodopa, and Entacapone",Daryn Le Port,(510) 6911099,2468 Clove Park
36800-429,Poaceae,Atherosclerosis of native arteries of left leg with ulceration of other part of lower left leg,Submucous leiomyoma,TOPCARE,Melisenda Bernardes,(173) 3597090,72 Esch Road
51991-474,Ericaceae,"Nondisplaced fracture of neck of other metacarpal bone, initial encounter for closed fracture",Post MI syndrome,Estradiol / Norethindrone Acetate,Alfie Spores,(419) 2511699,92 Upham Trail
68047-222,Aquifoliaceae,"Osteophyte, left hip",Pelvic fracture NEC-open,ExeClear,Zandra Moxted,(570) 2010813,307 Bayside Hill
55154-7470,Fabaceae,"Displacement of other implanted electronic stimulator of nervous system, sequela",Excess blood-alcohol lev,Isosorbide,Oneida Takis,(435) 7582927,77248 Gulseth Junction
0268-0864,Brassicaceae,"Unspecified fracture of upper end of unspecified humerus, sequela",Screen-sickle cell dis,CLADOSPORIUM SPHAEROSPERMUM,Diego Konzel,(900) 5532590,6 Reinke Terrace
68084-236,Gyalectaceae,Blister (nonthermal) of unspecified finger,Arthrop w hypersen react,Amoxicillin and Calvulanate Potassium,Constantine Grist,(300) 6291919,6 Lakewood Gardens Avenue
51285-594,Brassicaceae,"Abrasion of unspecified part of neck, initial encounter","Digest-genit fistul, fem",Vivactil,Edithe Hollows,(580) 4040354,94925 Mandrake Circle
56062-282,Bryaceae,"Pressure ulcer of right upper back, stage 1",50-59% bdy brn/20-29% 3d,dayhist allergy,Linnell Fayerman,(656) 7916222,5 Kim Junction
51345-067,Caprifoliaceae,"War operations involving other firearms discharge, civilian, initial encounter",Group b streptoc carrier,Bodycology,Gal Syred,(471) 9960579,46 Westerfield Junction
0009-0044,Scrophulariaceae,Myopathy in diseases classified elsewhere,Mal mastocytosis abdom,CORTEF,Carola Dicey,(648) 2296714,27 Mesta Crossing
42195-210,Nyctaginaceae,"Burn of unspecified degree of right forearm, subsequent encounter",Disc degeneration NOS,Pyrilamine Maleate and Phenylephrine Hydrochloride,Roanne Seckom,(150) 9747897,0072 Glendale Drive
0703-4502,Campanulaceae,"Osteitis deformans in neoplastic diseases, left hand",Open wound site NOS,Metoclopramide,Augustina Mc Carroll,(590) 1011325,59664 High Crossing Lane
53808-0851,Boraginaceae,"Toxic effect of venom of gila monster, intentional self-harm, subsequent encounter",Post-trauma headache NOS,Nifedical,Stanly Rase,(636) 1196024,47602 Hudson Road
52389-266,Cactaceae,"Displaced transverse fracture of unspecified acetabulum, subsequent encounter for fracture with delayed healing",Screen-cardiovasc NEC,Psoriasin,Shelton Magee,(193) 9285668,70 Packers Alley
49035-944,Asteraceae,"Cleft lip, median",Hypoplasia of uterus,equate hemorrhoidal,Ganny Postians,(386) 2044714,9947 Pepper Wood Place
17575-006,Fabaceae,"Other contact with other rodent, initial encounter",Wtrcraft stair fall-crew,Nitrogen,Lee Devey,(937) 1578396,9733 Weeping Birch Drive
55154-0113,Physciaceae,"Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",Abdmnal tndr unspcf site,Depakote,Olivia Maultby,(522) 6812919,63 Carberry Place
52125-978,Euphorbiaceae,"Spondylopathy, unspecified","Fracture, cause NOS",Spironolactone,Lynde Planque,(748) 8823093,6 Northport Drive
10481-1051,Hydrophyllaceae,"Laceration of muscle, fascia and tendon of abdomen, initial encounter",Histoplasmosis retinitis,Silver Nitrate,Merl Bordman,(199) 4474795,107 Donald Crossing
0615-6580,Rosaceae,"Subluxation of metatarsophalangeal joint of left great toe, initial encounter",Ovarian preg w intra prg,Simvastatin,Pammi Schrei,(308) 6259826,98374 Homewood Court
0009-0555,Asteraceae,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 4",Poisoning-analeptics,Lincocin,Jesse Jewks,(275) 2950957,72 Stuart Avenue
57708-888,Asteraceae,Intentional self-harm by jumping or lying in front of (subway) train,Cl skl vlt fx-concus NOS,NIN JIOM PEI PA KOA,Merrie De Launde,(910) 7567861,68332 Fordem Street
0527-1346,Poaceae,"Malformation of placenta, unspecified, first trimester",Hodgkins sarcoma head,Levothyroxine Sodium,Kahaleel Piesold,(274) 4071960,46312 Jay Center
10742-8126,Asteraceae,"Osteophyte, right hip",Oil/essence pneumonitis,WellPatch Capsaicin Pain Relief,Libbie Kilroy,(801) 5333894,94750 Oriole Crossing
0121-1465,Dryopteridaceae,"Other displaced fracture of lower end of left humerus, subsequent encounter for fracture with delayed healing",Miliary TB NEC-cult dx,POTASSIUM CHLORIDE,Maggee Stammer,(206) 3298205,76940 Northland Center
68084-149,Lamiaceae,"Salter-Harris Type I physeal fracture of lower end of humerus, right arm, subsequent encounter for fracture with malunion",Diphtheria carrier,MethylPREDNISolone,Ulrika Mellhuish,(381) 4679864,80650 Hazelcrest Plaza
16590-832,Lichinaceae,Dental caries,Benign hyp ht dis w/o hf,GABITRIL,Lance Thurlbeck,(775) 1537609,824 Charing Cross Road
51852-102,Fabaceae,Neuropathy in association with hereditary ataxia,Acc poison-methadone,Tolnaftate,Herbie Churchouse,(924) 3621020,60474 Orin Center
54868-1198,Sapindaceae,Ambulatory health services establishments as the place of occurrence of the external cause,Candidal meningitis,Aspirin,Elke Edes,(709) 1257731,9242 Mitchell Road
43269-786,Asteraceae,"Burn of first degree of multiple sites of right shoulder and upper limb, except wrist and hand",Open wound of shoulder,Golden Pear Antibacterial Foaming Hand Wash,Silvan Mitchley,(312) 3675723,33 Meadow Valley Point
11528-010,Arecaceae,Displaced fracture of medial condyle of left tibia,Anisakiasis,COVARYX,Inglis Paute,(691) 5183420,78 Butterfield Center
63736-502,Myrtaceae,"Laceration of unspecified muscle and tendon at ankle and foot level, right foot, subsequent encounter",Orbital periostitis,Nice,Dorothea Tommis,(208) 8941125,5878 Fremont Road
41250-272,Hymenophyllaceae,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 3",Op skl fx NEC/br inj NEC,sinus congestion and pain,Clea Waldie,(494) 1790958,0710 Merrick Center
61786-029,Cladoniaceae,"Other psychoactive substance use, unspecified with withdrawal, uncomplicated",Puerp pyrexia-del w p/p,CEFTRIAXONE,Theo Fearnill,(375) 6418751,53980 Annamark Court
59779-149,Polygalaceae,"Insect bite (nonvenomous) of left hand, sequela",Galactorrhea preg-unspec,Triple Antibiotic,Ichabod Lindroos,(210) 9050251,53 Kenwood Road
59667-0015,Asteraceae,"Salter-Harris Type III physeal fracture of right metatarsal, initial encounter for open fracture",Cord complicat NOS-unsp,Cuts and Scrapes,Pooh Alton,(810) 2677940,2327 Bunting Street
51285-424,Malvaceae,"Traumatic rupture of right ulnocarpal (palmar) ligament, subsequent encounter",Inf arthritis NOS-shlder,Aygestin,Val Westerman,(973) 5388937,43755 New Castle Parkway
45802-283,Liliaceae,"Nondisplaced fracture of lateral malleolus of unspecified fibula, initial encounter for open fracture type I or II",Opn skul vlt fx-coma NOS,Hydrocortisone,Waldemar Fishby,(278) 7624104,7584 Farwell Place
63629-2868,Hypnaceae,Other superficial bite of unspecified upper arm,Torus fx ulna-closed,tramadol hydrochloride,Carly Mascall,(515) 2334307,910 Donald Crossing
0591-3635,Scrophulariaceae,Tracheostomy status,3rd burn w loss-thumb,Levetiracetam,Kaila Guirau,(300) 4997745,7 Packers Park
46026-983,Fagaceae,"Nondisplaced transverse fracture of unspecified acetabulum, sequela",Rabies,ISTODAX,Amity Wilkennson,(769) 8231183,59410 Kennedy Crossing
21695-620,Verbenaceae,"Sprain of metatarsophalangeal joint of unspecified great toe, initial encounter",Excessive spacing-teeth,Cefdinir,Bree Tomankowski,(163) 1577524,5 Melody Lane
55154-5701,Rosaceae,"Blister (nonthermal) of unspecified eyelid and periocular area, sequela",Ruptur thoracic aneurysm,Furosemide,Levon Dosdill,(715) 9117606,42 Saint Paul Circle
65585-387,Thelotremataceae,"Other specified injury of popliteal vein, left leg",Alzheimer's disease,WhiskCare 387,Anette Dolphin,(812) 4280687,711 Montana Avenue
55111-727,Polygonaceae,Unspecified superficial injury of right thumb,Disorders of choroid NEC,Ropinirole,Lula Endrici,(827) 2600750,42213 Burrows Point
69065-001,Proteaceae,"Displaced transverse fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",Epilepsy NEC w intr epil,Gadis Lip Moisturizer,Dalton Bizzey,(685) 5442750,7 Gateway Alley
50458-820,Liliaceae,"Sprain of other specified parts of right knee, initial encounter",Bacterial meningitis NOS,NUCYNTA,Eldin Grinaway,(839) 4366700,83729 Jana Terrace
65954-770,Poaceae,"Toxic effect of ketones, assault",Intestin TB NEC-histo dx,Colgate Sensitive Prevent and Repair,Korrie Barthrup,(869) 2885000,52 Northland Trail
75857-2153,Clusiaceae,"Strain of flexor muscle, fascia and tendon of right middle finger at forearm level, initial encounter",Feeding problem,SPF 15 Sunscreen,Devy Grealey,(197) 1001691,75 Scofield Center
49972-004,Asteraceae,Duodenitis,Viral encephalitis NOS,Nitrous Oxide,Othelia MacBean,(753) 8885161,5640 Kingsford Trail
0179-0045,Rutaceae,"Corrosion of unspecified degree of multiple left fingers (nail), not including thumb, subsequent encounter",Hydrocele canal nuck-fem,TEMAZEPAM,Lyle Elvidge,(160) 8075885,3 Redwing Plaza
68016-302,Scrophulariaceae,"Unspecified dislocation of other finger, initial encounter",Loss control mv acc-driv,Premier Value Sleep-Aid,Del Warry,(896) 1293677,444 Clyde Gallagher Place
0409-7074,Rosaceae,"Laceration of tail of pancreas, unspecified degree",Tox dif goiter w crisis,Potassium Chloride,Kate Karlolczak,(922) 9644606,1883 Utah Junction
42421-115,Verrucariaceae,Acute tonsillitis due to other specified organisms,Crys arthrop NEC-forearm,H-E-B Dead Sea Organics Protect and Perfect Day Broad Spectrum SPF15,Fred Jaime,(788) 4596038,115 Randy Avenue
42291-810,Fagaceae,"Nondisplaced oblique fracture of shaft of unspecified femur, subsequent encounter for closed fracture with nonunion",Preterm NEC 1000-1249g,Tizanidine Hydrochloride,Cosetta Coie,(654) 1399506,74694 Kropf Center
68084-808,Anacardiaceae,Malignant neoplasm of palate,Granuloma of conjunctiva,Tramadol Hydrochloride,Lyda Shergill,(340) 3476752,6 Ryan Place
51435-002,Arecaceae,"Vascular abnormalities of conjunctiva, right eye",Disloc metatarsophal-opn,NEUTRACETT,Rufe Lett,(519) 4012111,9 Homewood Center
65224-804,Asteraceae,"Laceration with foreign body of unspecified cheek and temporomandibular area, sequela",Fx scapula NOS-open,CEDAX,Deva Coiley,(820) 9650763,60 Portage Lane
48951-5068,Liliaceae,"Unspecified intracapsular fracture of unspecified femur, sequela",Acute myocarditis NOS,Ignatia Bryophyllum,Tyler Lowle,(992) 9232585,44 Merrick Plaza
64159-7691,Moraceae,"Ocular hypertension, left eye",Thrombophlebit-postpart,SENSAI CELLULAR PERFORMANCE HYDRACHANGE TINTED GEL CREAM 1 NUDE BEIGE,Chiarra Borges,(880) 4552038,28366 Summer Ridge Plaza
0591-5783,Bixaceae,"Laceration of other specified blood vessels at shoulder and upper arm level, left arm, subsequent encounter",Mal neo male genital NEC,Atenolol and Chlorthalidone,Towny Borgars,(876) 3491206,78599 Bowman Alley
67046-119,Apocynaceae,Injury of blood vessels at shoulder and upper arm level,Crushing injury NOS,cyclobenzaprine hydrochloride,Quincy Suggitt,(846) 1518200,01841 Jenna Point
67457-584,Apocynaceae,"Displaced segmental fracture of shaft of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",Granuloma of conjunctiva,fondaparinux sodium,Yevette Bellard,(596) 7527076,47 Dahle Park
0517-4602,Pottiaceae,"Underdosing of androgens and anabolic congeners, sequela",Vasectomy status,Glycopyrrolate,Cheri Masters,(188) 8826038,1264 Spaight Junction
0555-0139,Polemoniaceae,Injury to rider of (inflatable) watercraft being pulled behind other watercraft,Estrogen recep pstv stat,Galantamine,Kati Lakenden,(378) 8127170,31 Lunder Drive
37012-602,Tiliaceae,"Chronic angle-closure glaucoma, bilateral, stage unspecified","Pancreas, body inj-open",Epsom Salt,Arlina Benbow,(461) 4799305,93912 Erie Park
54868-5590,Malvaceae,"Other fracture of upper end of right radius, sequela",Ocl vrtb art wo infrct,Morphine Sulfate,Ivett Roof,(963) 5741180,0 Blackbird Crossing
64205-520,Campanulaceae,"Maternal care for (suspected) damage to fetus by radiation, fetus 4",Supraglottis w obstr NOS,Phenazopyridine Hydrochloride,Nicol Slocom,(343) 4536198,943 Stang Trail
66467-3730,Brassicaceae,"Displacement of esophageal anti-reflux device, subsequent encounter",Deep vasculariza cornea,Darby,Haze Cawley,(819) 1649580,11625 Barby Lane
0407-1413,Brassicaceae,"Nondisplaced fracture of lesser tuberosity of right humerus, sequela",Lat dislocat elbow-open,OMNIPAQUE,Hayden MacSharry,(323) 4021001,72 Farragut Road
49349-032,Aceraceae,"Fusion of spine, lumbosacral region",Jaw pain,Carvedilol,Kriste Griffoen,(172) 2428219,7203 Katie Circle
0615-6577,Asclepiadaceae,"Other mechanical complication of ventricular intracranial (communicating) shunt, sequela",Abdmnal rgdt epigastric,Amlodipine Besylate,Gil Aldwich,(858) 2717582,823 Warbler Trail
42254-268,Scrophulariaceae,"Laceration without foreign body of left hand, subsequent encounter",Cl skull fx NEC-brf coma,Donnatal,Beltran Barbie,(342) 6903389,5 Montana Drive
59062-1327,Asteraceae,"Fracture of vault of skull, initial encounter for open fracture",Hered spastic paraplegia,BabyGanics Alcohol Free Foaming Hand Sanitizer,Chauncey Chadband,(149) 2119206,583 Ilene Hill
0378-3566,Orchidaceae,"Displaced segmental fracture of shaft of unspecified tibia, subsequent encounter for closed fracture with nonunion",Water ski/wake boarding,Alendronate Sodium,Poppy Hughes,(608) 5693777,269 Pleasure Junction
65862-009,Asteraceae,Acute gastroenteropathy due to Norwalk agent,Loss of height,Metformin Hydrochloride,Lauryn Adshad,(836) 8755707,508 Kipling Hill
57520-0774,Trypetheliaceae,"Maternal care for other specified fetal problems, second trimester, fetus 1",Overhang dental restore,Borrelia Remedy,Elvis Killingbeck,(133) 3733315,4 Eliot Park
0955-1040,Zingiberaceae,"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter",Skin transplant status,Irbesartan,Madelyn Renzullo,(631) 1698187,2767 Florence Crossing
58466-023,Onagraceae,Adverse effect of phenothiazine antipsychotics and neuroleptics,"Fx clavicl, acrom end-cl",Celazome Botanical Mositurizer with SPF 15,Elsy Toffoloni,(974) 9125053,36 Grayhawk Hill
0113-0047,Polemoniaceae,"Dislocation of other parts of lumbar spine and pelvis, sequela",Oth powered aircraft acc,Acid Reducer,Stanislaus Navarijo,(620) 9346064,07984 Shasta Street
75854-303,Brassicaceae,"Recurrent cholesteatoma of postmastoidectomy cavity, bilateral ears",Hallux valgus,prenate essential,Sally Karchewski,(434) 1684427,48745 Sheridan Hill
68462-455,Lamiaceae,"Other superficial bite of hip, unspecified hip, subsequent encounter",High head term-antepart,Ciclopirox,Gary Demkowicz,(993) 5458638,5 Eagle Crest Plaza
76344-3001,Fabaceae,"Obstruction due to foreign body accidentally left in body following unspecified procedure, sequela",Hair disease NOS,Laser Max Sunstick SPF50,Heriberto Primmer,(921) 5858224,3294 Kennedy Terrace
64406-016,Thelotremataceae,"Laceration of ovary, unspecified, subsequent encounter",Mucosits d/t antineo rx,Plegridy,Ceil Benedit,(436) 1159716,2278 Anzinger Place
43269-730,Juncaceae,Burn of second degree of right axilla,Thalassemia NEC,Island Breeze Antibacterial Foaming Hand Wash,Janeczka Dessaur,(617) 8798070,5395 Brickson Park Trail
0093-7152,Annonaceae,Unspecified superficial injury of right wrist,Mal neo lat nasopharynx,Simvastatin,Kandy Maystone,(297) 8574987,499 Iowa Circle
36987-1416,Ranunculaceae,"Anterior cord syndrome at C6 level of cervical spinal cord, initial encounter",Open wnd nas sinus-compl,Kiwi,Tomasina Dearnaly,(366) 5026071,88 Utah Hill
54868-5767,Polygonaceae,"Displaced fracture of distal pole of navicular [scaphoid] bone of left wrist, subsequent encounter for fracture with delayed healing",Mult birth NOS-nonhosp,Cefdinir,Marlie Rulf,(439) 2410304,9093 Ridge Oak Court
55714-4492,Brassicaceae,"Strain of extensor muscle, fascia and tendon of left ring finger at wrist and hand level",Rout postpart follow-up,Edometriosis,Krystyna Brammer,(578) 3594708,154 Shelley Center
61715-051,Empetraceae,"Contusion of esophagus (thoracic part), subsequent encounter",Redun prepuce & phimosis,PREFERRED PLUS MEDICATED LIP BALM,Elliott Cammock,(922) 1237434,4 Granby Point
60215-411,Asteraceae,Burn due to (nonpowered) inflatable craft on fire,"Parasite infest, orbit",Fludeoxyglucose,Mandi Probbin,(907) 4900847,11394 Banding Hill
58876-107,Poaceae,Need for assistance at home and no other household member able to render care,Bilat ing hernia w gang,INTENSIVE FACE AND BODY ACNE TREATMENT,Thadeus Radband,(627) 1512634,85 Lighthouse Bay Alley
49035-247,Malvaceae,"Unspecified fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",Subac scleros panenceph,equate sinus,Fredelia Cowcha,(414) 3821867,7 Porter Junction
0378-6151,Azollaceae,Salter-Harris Type I physeal fracture of calcaneus,Kuru,MENTAX,Gibby Ditchett,(455) 2846210,649 Westridge Plaza
57520-0542,Fabaceae,"Toxic effect of unspecified inorganic substance, assault, initial encounter",TB of bone NEC-oth test,Quercetin,Yoshi Oldam,(357) 4082974,3 Marquette Pass
68828-102,Eremolepidaceae,Malignant neoplasm of overlapping sites of floor of mouth,Dislocat wrist NOS-open,Mattifying Tonic,Kelcy Holleworth,(265) 1775604,58735 Carpenter Court
55045-2092,Rosaceae,Sylvatic yellow fever,Surgical convalescence,Testosterone Cypionate,Ashia Scargle,(406) 7081787,21 Kropf Hill
0409-2288,Salicaceae,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations,Mv brd/alight-ped cycl,Ketorolac Tromethamine,Brennan Vsanelli,(991) 8536704,7 Anzinger Crossing
54868-6114,Apocynaceae,Chronic maxillary sinusitis,Fit contact lens/glasses,Differin,Courtnay Doleman,(338) 2868791,25369 Mifflin Place
54868-4989,Brassicaceae,Malignant neoplasm of pancreatic duct,Exposure NEC,Testim,Gladi Wharram,(339) 7034724,6666 Brown Parkway
